# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           P_int (e^4) [MeV^4]
2.840222E+01        -8.355204E+00
2.837670E+01        -8.323792E+00
2.835121E+01        -8.292493E+00
2.832574E+01        -8.261290E+00
2.830030E+01        -8.230196E+00
2.827488E+01        -8.199295E+00
2.824948E+01        -8.168398E+00
2.822410E+01        -8.137689E+00
2.819875E+01        -8.107093E+00
2.817341E+01        -8.076582E+00
2.814811E+01        -8.046192E+00
2.812282E+01        -8.015982E+00
2.809756E+01        -7.985789E+00
2.807232E+01        -7.955784E+00
2.804710E+01        -7.925881E+00
2.802190E+01        -7.895978E+00
2.799673E+01        -7.866276E+00
2.797158E+01        -7.836771E+00
2.794645E+01        -7.807271E+00
2.792135E+01        -7.777875E+00
2.789627E+01        -7.748673E+00
2.787121E+01        -7.719475E+00
2.784617E+01        -7.690467E+00
2.782116E+01        -7.661571E+00
2.779616E+01        -7.632665E+00
2.777119E+01        -7.603960E+00
2.774625E+01        -7.575367E+00
2.772132E+01        -7.546860E+00
2.769642E+01        -7.518461E+00
2.767154E+01        -7.490256E+00
2.764668E+01        -7.462056E+00
2.762184E+01        -7.433950E+00
2.759703E+01        -7.405952E+00
2.757224E+01        -7.378148E+00
2.754747E+01        -7.350349E+00
2.752273E+01        -7.322750E+00
2.749800E+01        -7.295147E+00
2.747330E+01        -7.267743E+00
2.744862E+01        -7.240441E+00
2.742396E+01        -7.213141E+00
2.739933E+01        -7.186042E+00
2.737471E+01        -7.158937E+00
2.735012E+01        -7.132032E+00
2.732555E+01        -7.105230E+00
2.730101E+01        -7.078536E+00
2.727648E+01        -7.051833E+00
2.725198E+01        -7.025330E+00
2.722750E+01        -6.998834E+00
2.720304E+01        -6.972527E+00
2.717860E+01        -6.946322E+00
2.715419E+01        -6.920226E+00
2.712979E+01        -6.894121E+00
2.710542E+01        -6.868216E+00
2.708107E+01        -6.842318E+00
2.705675E+01        -6.816619E+00
2.703244E+01        -6.791013E+00
2.700816E+01        -6.765419E+00
2.698390E+01        -6.739919E+00
2.695966E+01        -6.714613E+00
2.693544E+01        -6.689314E+00
2.691124E+01        -6.664204E+00
2.688707E+01        -6.639112E+00
2.686291E+01        -6.614102E+00
2.683878E+01        -6.589202E+00
2.681467E+01        -6.564400E+00
2.679058E+01        -6.539696E+00
2.676652E+01        -6.515100E+00
2.674247E+01        -6.490593E+00
2.671845E+01        -6.466194E+00
2.669445E+01        -6.441798E+00
2.667047E+01        -6.417592E+00
2.664651E+01        -6.393488E+00
2.662257E+01        -6.369387E+00
2.659866E+01        -6.345391E+00
2.657476E+01        -6.321483E+00
2.655089E+01        -6.297779E+00
2.652704E+01        -6.274082E+00
2.650321E+01        -6.250384E+00
2.647940E+01        -6.226875E+00
2.645561E+01        -6.203470E+00
2.643185E+01        -6.180173E+00
2.640810E+01        -6.156870E+00
2.638438E+01        -6.133670E+00
2.636068E+01        -6.110570E+00
2.633700E+01        -6.087567E+00
2.631334E+01        -6.064664E+00
2.628970E+01        -6.041859E+00
2.626609E+01        -6.019163E+00
2.624249E+01        -5.996461E+00
2.621892E+01        -5.973958E+00
2.619536E+01        -5.951453E+00
2.617183E+01        -5.929052E+00
2.614832E+01        -5.906655E+00
2.612483E+01        -5.884447E+00
2.610136E+01        -5.862343E+00
2.607792E+01        -5.840252E+00
2.605449E+01        -5.818246E+00
2.603109E+01        -5.796349E+00
2.600770E+01        -5.774540E+00
2.598434E+01        -5.752841E+00
2.596100E+01        -5.731145E+00
2.593768E+01        -5.709639E+00
2.591438E+01        -5.688141E+00
2.589110E+01        -5.666738E+00
2.586784E+01        -5.645338E+00
2.584460E+01        -5.624128E+00
2.582138E+01        -5.602927E+00
2.579819E+01        -5.581830E+00
2.577501E+01        -5.560822E+00
2.575186E+01        -5.539923E+00
2.572873E+01        -5.519028E+00
2.570561E+01        -5.498314E+00
