# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           dP_int/dT (e^4) [MeV^3]
3.250114E+01        -1.893924E+00
3.247195E+01        -1.888526E+00
3.244278E+01        -1.883127E+00
3.241363E+01        -1.877726E+00
3.238451E+01        -1.872424E+00
3.235542E+01        -1.867027E+00
3.232636E+01        -1.861726E+00
3.229732E+01        -1.856426E+00
3.226830E+01        -1.851126E+00
3.223932E+01        -1.845828E+00
3.221036E+01        -1.840528E+00
3.218142E+01        -1.835326E+00
3.215251E+01        -1.830028E+00
3.212363E+01        -1.824827E+00
3.209477E+01        -1.819627E+00
3.206594E+01        -1.814428E+00
3.203713E+01        -1.809227E+00
3.200836E+01        -1.804127E+00
3.197960E+01        -1.798929E+00
3.195087E+01        -1.793827E+00
3.192217E+01        -1.788727E+00
3.189350E+01        -1.783629E+00
3.186485E+01        -1.778530E+00
3.183622E+01        -1.773429E+00
3.180762E+01        -1.768427E+00
3.177905E+01        -1.763331E+00
3.175050E+01        -1.758328E+00
3.172198E+01        -1.753232E+00
3.169348E+01        -1.748326E+00
3.166501E+01        -1.743330E+00
3.163657E+01        -1.738331E+00
3.160815E+01        -1.733331E+00
3.157975E+01        -1.728428E+00
3.155138E+01        -1.723431E+00
3.152304E+01        -1.718529E+00
3.149472E+01        -1.713630E+00
3.146643E+01        -1.708730E+00
3.143816E+01        -1.703928E+00
3.140992E+01        -1.699031E+00
3.138171E+01        -1.694133E+00
3.135352E+01        -1.689331E+00
3.132535E+01        -1.684530E+00
3.129721E+01        -1.679731E+00
3.126910E+01        -1.674932E+00
3.124101E+01        -1.670132E+00
3.121294E+01        -1.665332E+00
3.118490E+01        -1.660629E+00
3.115689E+01        -1.655833E+00
3.112890E+01        -1.651131E+00
3.110094E+01        -1.646432E+00
3.107300E+01        -1.641732E+00
3.104509E+01        -1.637033E+00
3.101720E+01        -1.632333E+00
3.098933E+01        -1.627730E+00
3.096150E+01        -1.623035E+00
3.093368E+01        -1.618431E+00
3.090589E+01        -1.613831E+00
3.087813E+01        -1.609232E+00
3.085039E+01        -1.604632E+00
3.082268E+01        -1.600033E+00
3.079499E+01        -1.595434E+00
3.076733E+01        -1.590932E+00
3.073969E+01        -1.586335E+00
3.071207E+01        -1.581831E+00
3.068448E+01        -1.577332E+00
3.065692E+01        -1.572833E+00
3.062938E+01        -1.568333E+00
3.060187E+01        -1.563835E+00
3.057438E+01        -1.559432E+00
3.054691E+01        -1.554935E+00
3.051947E+01        -1.550532E+00
3.049205E+01        -1.546035E+00
3.046466E+01        -1.541633E+00
3.043730E+01        -1.537234E+00
3.040995E+01        -1.532834E+00
3.038264E+01        -1.528532E+00
3.035534E+01        -1.524135E+00
3.032807E+01        -1.519735E+00
3.030083E+01        -1.515433E+00
3.027361E+01        -1.511133E+00
3.024641E+01        -1.506833E+00
3.021924E+01        -1.502533E+00
3.019210E+01        -1.498235E+00
3.016497E+01        -1.493934E+00
3.013788E+01        -1.489636E+00
3.011080E+01        -1.485432E+00
3.008375E+01        -1.481135E+00
3.005673E+01        -1.476933E+00
3.002973E+01        -1.472734E+00
3.000275E+01        -1.468534E+00
2.997580E+01        -1.464334E+00
2.994887E+01        -1.460134E+00
2.992197E+01        -1.455935E+00
2.989509E+01        -1.451833E+00
2.986824E+01        -1.447637E+00
2.984140E+01        -1.443533E+00
2.981460E+01        -1.439434E+00
2.978781E+01        -1.435334E+00
2.976106E+01        -1.431235E+00
2.973432E+01        -1.427135E+00
2.970761E+01        -1.423036E+00
2.968092E+01        -1.418935E+00
2.965426E+01        -1.414933E+00
2.962762E+01        -1.410837E+00
2.960101E+01        -1.406834E+00
2.957442E+01        -1.402835E+00
2.954785E+01        -1.398835E+00
2.952130E+01        -1.394834E+00
2.949479E+01        -1.390836E+00
2.946829E+01        -1.386836E+00
2.944182E+01        -1.382933E+00
2.941537E+01        -1.378937E+00
2.938895E+01        -1.375034E+00
2.936255E+01        -1.371135E+00
2.933617E+01        -1.367235E+00
2.930982E+01        -1.363335E+00
2.928349E+01        -1.359436E+00
2.925718E+01        -1.355536E+00
2.923090E+01        -1.351636E+00
2.920464E+01        -1.347736E+00
2.917840E+01        -1.343933E+00
2.915219E+01        -1.340037E+00
2.912600E+01        -1.336233E+00
2.909984E+01        -1.332434E+00
2.907370E+01        -1.328635E+00
2.904758E+01        -1.324835E+00
2.902149E+01        -1.321036E+00
2.899542E+01        -1.317333E+00
2.896937E+01        -1.313536E+00
2.894335E+01        -1.309737E+00
2.891735E+01        -1.306034E+00
2.889137E+01        -1.302334E+00
2.886542E+01        -1.298538E+00
2.883949E+01        -1.294835E+00
2.881358E+01        -1.291135E+00
2.878770E+01        -1.287436E+00
2.876183E+01        -1.283831E+00
2.873600E+01        -1.280136E+00
2.871018E+01        -1.276436E+00
2.868439E+01        -1.272833E+00
2.865863E+01        -1.269234E+00
2.863288E+01        -1.265537E+00
2.860716E+01        -1.261934E+00
2.858146E+01        -1.258334E+00
2.855579E+01        -1.254735E+00
2.853013E+01        -1.251135E+00
2.850450E+01        -1.247631E+00
2.847890E+01        -1.244036E+00
2.845332E+01        -1.240437E+00
2.842776E+01        -1.236933E+00
2.840222E+01        -1.233433E+00
2.837670E+01        -1.229837E+00
2.835121E+01        -1.226333E+00
2.832574E+01        -1.222834E+00
2.830030E+01        -1.219335E+00
2.827488E+01        -1.215835E+00
2.824948E+01        -1.212432E+00
2.822410E+01        -1.208936E+00
2.819875E+01        -1.205437E+00
2.817341E+01        -1.202032E+00
2.814811E+01        -1.198633E+00
2.812282E+01        -1.195137E+00
2.809756E+01        -1.191734E+00
2.807232E+01        -1.188334E+00
2.804710E+01        -1.184934E+00
2.802190E+01        -1.181534E+00
2.799673E+01        -1.178231E+00
2.797158E+01        -1.174835E+00
2.794645E+01        -1.171435E+00
2.792135E+01        -1.168132E+00
2.789627E+01        -1.164833E+00
2.787121E+01        -1.161437E+00
2.784617E+01        -1.158133E+00
2.782116E+01        -1.154834E+00
2.779616E+01        -1.151533E+00
2.777119E+01        -1.148233E+00
2.774625E+01        -1.144935E+00
2.772132E+01        -1.141730E+00
2.769642E+01        -1.138435E+00
2.767154E+01        -1.135135E+00
2.764668E+01        -1.131931E+00
2.762184E+01        -1.128731E+00
