# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           d^2P_int/dT^2 (e^4) [MeV^2]
3.163657E+01        -1.747289E-01
3.160815E+01        -1.743889E-01
3.157975E+01        -1.740489E-01
3.155138E+01        -1.737089E-01
3.152304E+01        -1.733690E-01
3.149472E+01        -1.730290E-01
3.146643E+01        -1.726988E-01
3.143816E+01        -1.723591E-01
3.140992E+01        -1.720288E-01
3.138171E+01        -1.716892E-01
3.135352E+01        -1.713493E-01
3.132535E+01        -1.710190E-01
3.129721E+01        -1.706890E-01
3.126910E+01        -1.703591E-01
3.124101E+01        -1.700194E-01
3.121294E+01        -1.696891E-01
3.118490E+01        -1.693591E-01
3.115689E+01        -1.690292E-01
3.112890E+01        -1.686992E-01
3.110094E+01        -1.683693E-01
3.107300E+01        -1.680490E-01
3.104509E+01        -1.677194E-01
3.101720E+01        -1.673894E-01
3.098933E+01        -1.670690E-01
3.096150E+01        -1.667395E-01
3.093368E+01        -1.664094E-01
3.090589E+01        -1.660891E-01
3.087813E+01        -1.657692E-01
3.085039E+01        -1.654395E-01
3.082268E+01        -1.651193E-01
3.079499E+01        -1.647993E-01
3.076733E+01        -1.644794E-01
3.073969E+01        -1.641594E-01
3.071207E+01        -1.638394E-01
3.068448E+01        -1.635194E-01
3.065692E+01        -1.631995E-01
3.062938E+01        -1.628795E-01
3.060187E+01        -1.625693E-01
3.057438E+01        -1.622496E-01
3.054691E+01        -1.619296E-01
3.051947E+01        -1.616193E-01
3.049205E+01        -1.612996E-01
3.046466E+01        -1.609894E-01
3.043730E+01        -1.606698E-01
3.040995E+01        -1.603594E-01
3.038264E+01        -1.600495E-01
3.035534E+01        -1.597395E-01
3.032807E+01        -1.594198E-01
3.030083E+01        -1.591096E-01
3.027361E+01        -1.587996E-01
3.024641E+01        -1.584896E-01
3.021924E+01        -1.581796E-01
3.019210E+01        -1.578794E-01
3.016497E+01        -1.575697E-01
3.013788E+01        -1.572598E-01
3.011080E+01        -1.569594E-01
3.008375E+01        -1.566498E-01
3.005673E+01        -1.563398E-01
3.002973E+01        -1.560396E-01
3.000275E+01        -1.557299E-01
2.997580E+01        -1.554296E-01
2.994887E+01        -1.551296E-01
2.992197E+01        -1.548297E-01
2.989509E+01        -1.545200E-01
2.986824E+01        -1.542198E-01
2.984140E+01        -1.539197E-01
2.981460E+01        -1.536198E-01
2.978781E+01        -1.533198E-01
2.976106E+01        -1.530199E-01
2.973432E+01        -1.527199E-01
2.970761E+01        -1.524296E-01
2.968092E+01        -1.521299E-01
2.965426E+01        -1.518300E-01
2.962762E+01        -1.515397E-01
2.960101E+01        -1.512401E-01
2.957442E+01        -1.509498E-01
2.954785E+01        -1.506501E-01
2.952130E+01        -1.503597E-01
2.949479E+01        -1.500602E-01
2.946829E+01        -1.497699E-01
2.944182E+01        -1.494799E-01
2.941537E+01        -1.491899E-01
2.938895E+01        -1.489000E-01
2.936255E+01        -1.486100E-01
2.933617E+01        -1.483200E-01
2.930982E+01        -1.480301E-01
2.928349E+01        -1.477401E-01
2.925718E+01        -1.474501E-01
2.923090E+01        -1.471698E-01
2.920464E+01        -1.468802E-01
2.917840E+01        -1.465901E-01
2.915219E+01        -1.463098E-01
2.912600E+01        -1.460202E-01
2.909984E+01        -1.457303E-01
2.907370E+01        -1.454499E-01
2.904758E+01        -1.451699E-01
2.902149E+01        -1.448804E-01
2.899542E+01        -1.446000E-01
2.896937E+01        -1.443200E-01
2.894335E+01        -1.440401E-01
2.891735E+01        -1.437601E-01
2.889137E+01        -1.434801E-01
2.886542E+01        -1.432002E-01
2.883949E+01        -1.429202E-01
2.881358E+01        -1.426402E-01
2.878770E+01        -1.423603E-01
2.876183E+01        -1.420802E-01
2.873600E+01        -1.418100E-01
2.871018E+01        -1.415303E-01
2.868439E+01        -1.412503E-01
2.865863E+01        -1.409801E-01
2.863288E+01        -1.407004E-01
2.860716E+01        -1.404301E-01
2.858146E+01        -1.401505E-01
2.855579E+01        -1.398802E-01
2.853013E+01        -1.396101E-01
2.850450E+01        -1.393401E-01
2.847890E+01        -1.390606E-01
2.845332E+01        -1.387903E-01
2.842776E+01        -1.385203E-01
2.840222E+01        -1.382503E-01
2.837670E+01        -1.379803E-01
2.835121E+01        -1.377103E-01
2.832574E+01        -1.374403E-01
2.830030E+01        -1.371800E-01
2.827488E+01        -1.369104E-01
2.824948E+01        -1.366405E-01
2.822410E+01        -1.363705E-01
2.819875E+01        -1.361101E-01
2.817341E+01        -1.358405E-01
2.814811E+01        -1.355802E-01
2.812282E+01        -1.353106E-01
2.809756E+01        -1.350502E-01
2.807232E+01        -1.347903E-01
2.804710E+01        -1.345207E-01
2.802190E+01        -1.342603E-01
2.799673E+01        -1.340003E-01
2.797158E+01        -1.337403E-01
2.794645E+01        -1.334803E-01
2.792135E+01        -1.332108E-01
2.789627E+01        -1.329601E-01
2.787121E+01        -1.327005E-01
2.784617E+01        -1.324405E-01
2.782116E+01        -1.321805E-01
2.779616E+01        -1.319205E-01
2.777119E+01        -1.316605E-01
2.774625E+01        -1.314102E-01
2.772132E+01        -1.311506E-01
2.769642E+01        -1.308906E-01
2.767154E+01        -1.306403E-01
2.764668E+01        -1.303807E-01
2.762184E+01        -1.301302E-01
2.759703E+01        -1.298803E-01
2.757224E+01        -1.296207E-01
2.754747E+01        -1.293703E-01
2.752273E+01        -1.291204E-01
2.749800E+01        -1.288608E-01
2.747330E+01        -1.286104E-01
2.744862E+01        -1.283605E-01
2.742396E+01        -1.281105E-01
2.739933E+01        -1.278605E-01
2.737471E+01        -1.276105E-01
2.735012E+01        -1.273605E-01
2.732555E+01        -1.271105E-01
2.730101E+01        -1.268606E-01
2.727648E+01        -1.266202E-01
2.725198E+01        -1.263707E-01
2.722750E+01        -1.261207E-01
2.720304E+01        -1.258803E-01
2.717860E+01        -1.256307E-01
2.715419E+01        -1.253904E-01
2.712979E+01        -1.251407E-01
2.710542E+01        -1.249003E-01
2.708107E+01        -1.246508E-01
2.705675E+01        -1.244105E-01
2.703244E+01        -1.241704E-01
2.700816E+01        -1.239209E-01
2.698390E+01        -1.236805E-01
2.695966E+01        -1.234406E-01
2.693544E+01        -1.232006E-01
2.691124E+01        -1.229606E-01
2.688707E+01        -1.227206E-01
2.686291E+01        -1.224806E-01
2.683878E+01        -1.222406E-01
2.681467E+01        -1.220007E-01
2.679058E+01        -1.217702E-01
2.676652E+01        -1.215307E-01
2.674247E+01        -1.212907E-01
2.671845E+01        -1.210508E-01
2.669445E+01        -1.208204E-01
2.667047E+01        -1.205808E-01
2.664651E+01        -1.203408E-01
2.662257E+01        -1.201104E-01
2.659866E+01        -1.198805E-01
2.657476E+01        -1.196409E-01
2.655089E+01        -1.194105E-01
2.652704E+01        -1.191710E-01
2.650321E+01        -1.189405E-01
2.647940E+01        -1.187105E-01
2.645561E+01        -1.184805E-01
2.643185E+01        -1.182506E-01
2.640810E+01        -1.180206E-01
2.638438E+01        -1.177906E-01
2.636068E+01        -1.175511E-01
2.633700E+01        -1.173302E-01
2.631334E+01        -1.171007E-01
2.628970E+01        -1.168707E-01
2.626609E+01        -1.166408E-01
2.624249E+01        -1.164108E-01
2.621892E+01        -1.161808E-01
2.619536E+01        -1.159603E-01
2.617183E+01        -1.157308E-01
2.614832E+01        -1.155104E-01
2.612483E+01        -1.152809E-01
2.610136E+01        -1.150509E-01
2.607792E+01        -1.148305E-01
2.605449E+01        -1.146105E-01
2.603109E+01        -1.143810E-01
2.600770E+01        -1.141605E-01
2.598434E+01        -1.139310E-01
2.596100E+01        -1.137106E-01
2.593768E+01        -1.134906E-01
2.591438E+01        -1.132707E-01
2.589110E+01        -1.130507E-01
2.586784E+01        -1.128307E-01
2.584460E+01        -1.126107E-01
2.582138E+01        -1.123907E-01
2.579819E+01        -1.121707E-01
2.577501E+01        -1.119507E-01
2.575186E+01        -1.117308E-01
2.572873E+01        -1.115108E-01
2.570561E+01        -1.112908E-01
